comprobante,fecha,modo,canasta_visible,producto_oculto,top5,acierto,precision5,recall5
B001-000337,2026-05-25,CONV,ACC-004|ELE-005,ELE-010,TUB-001|ELE-004|ELE-001|VAL-001|ACC-001,0,0.0,0.0
B001-000337,2026-05-25,ML_REGLAS,ACC-004|ELE-005,ELE-010,TUB-001|VAL-001|ELE-010|ELE-007|VAL-002,1,0.2,1.0
B001-000337,2026-05-25,ML_COMPLETO,ACC-004|ELE-005,ELE-010,TUB-001|ELE-007|ELE-010|HER-002|TUB-003,1,0.2,1.0
B001-000338,2026-05-26,CONV,HER-006,HER-001,HER-001|HER-005|HER-003|HER-004|HER-013,1,0.2,1.0
B001-000338,2026-05-26,ML_REGLAS,HER-006,HER-001,FER-005|HER-013|HER-005|FER-006|HER-003,0,0.0,0.0
B001-000338,2026-05-26,ML_COMPLETO,HER-006,HER-001,HER-001|FER-005|HER-005|HER-004|HER-013,1,0.2,1.0
B001-000339,2026-05-26,CONV,ELE-007|ELE-010|HER-002|HER-004,ELE-005,ELE-004|ELE-005|HER-001|HER-005|HER-003,1,0.2,1.0
B001-000339,2026-05-26,ML_REGLAS,ELE-007|ELE-010|HER-002|HER-004,ELE-005,ELE-005|ELE-009|HER-003|ELE-004|ELE-001,1,0.2,1.0
B001-000339,2026-05-26,ML_COMPLETO,ELE-007|ELE-010|HER-002|HER-004,ELE-005,ELE-005|HER-003|ELE-004|ELE-001|HER-005,1,0.2,1.0
B001-000340,2026-05-27,CONV,ELE-001|ELE-005|HER-003|LIJ-001,HER-002,ELE-004|HER-001|HER-005|PIN-002|HER-011,0,0.0,0.0
B001-000340,2026-05-27,ML_REGLAS,ELE-001|ELE-005|HER-003|LIJ-001,HER-002,ELE-007|PIN-001|PIN-007|PIN-002|ELE-004,0,0.0,0.0
B001-000340,2026-05-27,ML_COMPLETO,ELE-001|ELE-005|HER-003|LIJ-001,HER-002,ELE-007|HER-002|PIN-001|ELE-004|PIN-002,1,0.2,1.0
B001-000341,2026-05-27,CONV,PIN-002|PIN-007,CON-002,HER-011|PIN-001|HER-012|PIN-008|PIN-010,0,0.0,0.0
B001-000341,2026-05-27,ML_REGLAS,PIN-002|PIN-007,CON-002,HER-011|LIJ-001|HER-012|FER-003|PIN-001,0,0.0,0.0
B001-000341,2026-05-27,ML_COMPLETO,PIN-002|PIN-007,CON-002,HER-012|LIJ-001|FER-003|HER-011|PIN-010,0,0.0,0.0
B001-000342,2026-05-28,CONV,CON-001|HER-011|PIN-001|PIN-008|PIN-010,CON-002,PIN-002|ALA-001|CLO-001|CLO-002|CON-002,1,0.2,1.0
B001-000342,2026-05-28,ML_REGLAS,CON-001|HER-011|PIN-001|PIN-008|PIN-010,CON-002,FER-003|PIN-002|LIJ-001|HER-012|PIN-007,0,0.0,0.0
B001-000342,2026-05-28,ML_COMPLETO,CON-001|HER-011|PIN-001|PIN-008|PIN-010,CON-002,PIN-002|FER-003|LIJ-001|HER-012|CON-002,1,0.2,1.0
B001-000344,2026-05-28,CONV,PIN-002,FER-003,HER-011|PIN-001|PIN-007|HER-012|PIN-008,0,0.0,0.0
B001-000344,2026-05-28,ML_REGLAS,PIN-002,FER-003,HER-011|HER-012|PIN-007|PIN-010|PIN-008,0,0.0,0.0
B001-000344,2026-05-28,ML_COMPLETO,PIN-002,FER-003,HER-011|HER-012|LIJ-001|PIN-007|FER-003,1,0.2,1.0
B001-000345,2026-05-29,CONV,ELE-003|ELE-004|ELE-008,ELE-001,ELE-005|ELE-001|ELE-007|ELE-010|ELE-009,1,0.2,1.0
B001-000345,2026-05-29,ML_REGLAS,ELE-003|ELE-004|ELE-008,ELE-001,ELE-001|HER-003|ELE-007|ELE-009|HER-004,1,0.2,1.0
B001-000345,2026-05-29,ML_COMPLETO,ELE-003|ELE-004|ELE-008,ELE-001,ELE-001|HER-005|HER-003|FER-001|ELE-007,1,0.2,1.0
B001-000347,2026-05-30,CONV,FER-006|HER-007,PIN-008,HER-001|HER-005|FER-005|HER-003|FER-003,0,0.0,0.0
B001-000347,2026-05-30,ML_REGLAS,FER-006|HER-007,PIN-008,FER-005|HER-003|HER-013|HER-006|HER-005,0,0.0,0.0
B001-000347,2026-05-30,ML_COMPLETO,FER-006|HER-007,PIN-008,FER-005|HER-001|HER-004|HER-013|HER-005,0,0.0,0.0
B001-000348,2026-05-30,CONV,ELE-003|ELE-004|ELE-008,ELE-001,ELE-005|ELE-001|ELE-007|ELE-010|ELE-009,1,0.2,1.0
B001-000348,2026-05-30,ML_REGLAS,ELE-003|ELE-004|ELE-008,ELE-001,ELE-001|HER-003|ELE-007|ELE-009|HER-004,1,0.2,1.0
